alt2 min phase gs dist fb fuel lat lon hdg
18001 0.1666667 1 248.8999 0.6909673 4902.003 13.6251 -79.69169 166.1382 182
18101 0.1666667 1 249.2136 0.6918388 4895.728 13.60767 -79.70322 166.136 182
18201 0.1666667 1 249.5273 0.6927102 4889.454 13.59024 -79.71476 166.1337 182
18301 0.1666667 1 249.841 0.6935817 4883.179 13.57281 -79.72631 166.1315 182
18401 0.1666667 1 250.1548 0.6944532 4876.905 13.55538 -79.73788 166.1292 182
18501 0.1666667 1 250.4685 0.6953246 4870.63 13.53795 -79.74946 166.1269 182
18601 0.1666667 1 250.7822 0.6961961 4864.356 13.52052 -79.76105 166.1247 182
18701 0.1666667 1 251.0959 0.6970675 4858.081 13.50309 -79.77266 166.1224 182
18801 0.1666667 1 251.4097 0.697939 4851.807 13.48566 -79.78429 166.1201 182
18901 0.1666667 1 251.7234 0.6988105 4845.532 13.46824 -79.79593 166.1178 182
19001 0.1666667 1 252.0371 0.6996819 4839.258 13.45081 -79.80758 166.1155 182
19101 0.1666667 1 252.3508 0.7005534 4832.983 13.43338 -79.81925 166.1132 182
19201 0.1666667 1 252.6646 0.7014248 4826.708 13.41595 -79.83094 166.1109 182
19301 0.1666667 1 252.9783 0.7022963 4820.434 13.39852 -79.84263 166.1086 182
19401 0.1666667 1 253.292 0.7031678 4814.159 13.38109 -79.85435 166.1063 182
19501 0.1666667 1 253.6058 0.7040392 4807.885 13.36366 -79.86607 166.1039 182
19601 0.1666667 1 253.9195 0.7049107 4801.61 13.34623 -79.87781 166.1016 182
19701 0.1666667 1 254.2332 0.7057821 4795.336 13.3288 -79.88957 166.0993 182
19801 0.1666667 1 254.5469 0.7066536 4789.061 13.31137 -79.90134 166.0969 182
19901 0.1666667 1 254.8607 0.7075251 4782.787 13.29394 -79.91312 166.0934 183
20001 0.1666667 1 255.1744 0.7083965 4776.512 13.27651 -79.92491 166.0899 183
20101 0.1666667 1 255.4881 0.709268 4770.238 13.25908 -79.93671 166.0863 183
20201 0.1666667 1 255.8018 0.7101394 4763.963 13.24166 -79.94853 166.0828 183
20301 0.1666667 1 256.1156 0.7110109 4757.689 13.22423 -79.96037 166.0792 183
20401 0.1666667 1 256.4293 0.7118824 4751.414 13.2068 -79.97221 166.0757 183
20501 0.1666667 1 256.743 0.7127538 4745.14 13.18937 -79.98408 166.0721 183
20601 0.1666667 1 257.0567 0.7136253 4738.865 13.17194 -79.99595 166.0685 183
20701 0.1666667 1 257.3705 0.7144967 4732.591 13.15451 -80.00785 166.0649 183
