alt2 min phase gs dist fb fuel lat lon hdg
16123 0.1666667 1 243.0081 0.6746013 5019.838 13.95242 -45.09521 172.3539 185
16223 0.1666667 1 243.3218 0.6754728 5013.563 13.93499 -45.10643 172.3525 185
16323 0.1666667 1 243.6356 0.6763442 5007.289 13.91756 -45.11766 172.3511 185
16423 0.1666667 1 243.9493 0.6772157 5001.014 13.90013 -45.1289 172.3497 185
16523 0.1666667 1 244.263 0.6780871 4994.74 13.8827 -45.14016 172.3483 185
16623 0.1666667 1 244.5767 0.6789586 4988.465 13.86527 -45.15143 172.3469 185
16723 0.1666667 1 244.8905 0.6798301 4982.191 13.84784 -45.16272 172.3455 185
16823 0.1666667 1 245.2042 0.6807015 4975.916 13.83041 -45.17402 172.3441 185
16923 0.1666667 1 245.5179 0.681573 4969.642 13.81298 -45.18534 172.3427 185
17023 0.1666667 1 245.8316 0.6824444 4963.367 13.79556 -45.19667 172.3413 185
17123 0.1666667 1 246.1454 0.6833159 4957.093 13.77813 -45.20802 172.3399 185
17223 0.1666667 1 246.4591 0.6841874 4950.818 13.7607 -45.21938 172.3385 185
17323 0.1666667 1 246.7728 0.6850588 4944.544 13.74327 -45.23075 172.3371 185
17423 0.1666667 1 247.0865 0.6859303 4938.269 13.72584 -45.24214 172.3356 185
17523 0.1666667 1 247.4003 0.6868017 4931.995 13.70841 -45.25354 172.3342 185
17623 0.1666667 1 247.714 0.6876732 4925.72 13.69098 -45.26496 172.3328 185
17723 0.1666667 1 248.0277 0.6885447 4919.446 13.67355 -45.27639 172.3314 185
17823 0.1666667 1 248.3414 0.6894161 4913.171 13.65612 -45.28784 172.33 185
17923 0.1666667 1 248.6552 0.6902876 4906.897 13.63869 -45.2993 172.3285 185
18023 0.1666667 1 248.9689 0.691159 4900.622 13.62126 -45.31077 172.3271 185
18123 0.1666667 1 249.2826 0.6920305 4894.348 13.60383 -45.32226 172.3257 185
18223 0.1666667 1 249.5963 0.692902 4888.073 13.58641 -45.33377 172.3242 185
18323 0.1666667 1 249.9101 0.6937734 4881.799 13.56898 -45.34529 172.3228 185
18423 0.1666667 1 250.2238 0.6946449 4875.524 13.55155 -45.35682 172.3214 185
18523 0.1666667 1 250.5375 0.6955163 4869.25 13.53412 -45.36837 172.3199 185
18623 0.1666667 1 250.8512 0.6963878 4862.975 13.51669 -45.37993 172.3185 185
18723 0.1666667 1 251.165 0.6972593 4856.701 13.49926 -45.39151 172.3171 185
18823 0.1666667 1 251.4787 0.6981307 4850.426 13.48183 -45.4031 172.3156 185
18923 0.1666667 1 251.7924 0.6990022 4844.152 13.4644 -45.4147 172.3142 185
19023 0.1666667 1 252.1061 0.6998736 4837.877 13.44697 -45.42632 172.3127 185
19123 0.1666667 1 252.4199 0.7007451 4831.603 13.42954 -45.43796 172.3113 185
19223 0.1666667 1 252.7336 0.7016166 4825.328 13.41211 -45.44961 172.3098 185
19323 0.1666667 1 253.0473 0.702488 4819.054 13.39468 -45.46127 172.3084 185
19423 0.1666667 1 253.361 0.7033595 4812.779 13.37725 -45.47295 172.3069 185
19523 0.1666667 1 253.6748 0.7042309 4806.505 13.35983 -45.48464 172.3054 185
19623 0.1666667 1 253.9885 0.7051024 4800.23 13.3424 -45.49635 172.304 185
19723 0.1666667 1 254.3022 0.7059739 4793.956 13.32497 -45.50807 172.3025 185
19823 0.1666667 1 254.6159 0.7068453 4787.681 13.30754 -45.51981 172.3011 185
19923 0.1666667 1 254.9297 0.7077168 4781.407 13.29011 -45.53156 172.2996 185
20023 0.1666667 1 255.2434 0.7085882 4775.132 13.27268 -45.54332 172.2981 185
20123 0.1666667 1 255.5571 0.7094597 4768.858 13.25525 -45.5551 172.2966 185
20223 0.1666667 1 255.8708 0.7103312 4762.583 13.23782 -45.5669 172.2952 185
20323 0.1666667 1 256.1846 0.7112026 4756.308 13.22039 -45.5787 172.2937 185
20423 0.1666667 1 256.4983 0.7120741 4750.034 13.20296 -45.59053 172.2922 185
20523 0.1666667 1 256.812 0.7129455 4743.759 13.18553 -45.60236 172.2907 185
20623 0.1666667 1 257.1258 0.713817 4737.485 13.1681 -45.61422 172.2893 185
20723 0.1666667 1 257.4395 0.7146885 4731.21 13.15068 -45.62608 172.2878 185
20823 0.1666667 1 257.7532 0.7155599 4724.936 13.13325 -45.63796 172.2863 185
20923 0.1666667 1 258.0669 0.7164314 4718.661 13.11582 -45.64986 172.2848 185
21023 0.1666667 1 258.3807 0.7173028 4712.387 13.09839 -45.66177 172.2833 185
21123 0.1666667 1 258.6944 0.7181743 4706.112 13.08096 -45.67369 172.2818 185
21223 0.1666667 1 259.0081 0.7190458 4699.838 13.06353 -45.68563 172.2803 185
21323 0.1666667 1 259.3218 0.7199172 4693.563 13.0461 -45.69758 172.2788 185
21423 0.1666667 1 259.6356 0.7207887 4687.289 13.02867 -45.70955 172.2773 185
21523 0.1666667 1 259.9493 0.7216601 4681.014 13.01124 -45.72153 172.2758 185
21623 0.1666667 1 260.263 0.7225316 4674.74 12.99381 -45.73353 172.2743 185
21723 0.1666667 1 260.5767 0.7234031 4668.465 12.97638 -45.74554 172.2728 185
21823 0.1666667 1 260.8905 0.7242745 4662.191 12.95895 -45.75756 172.2713 185
21923 0.1666667 1 261.2042 0.725146 4655.916 12.94153 -45.7696 172.2698 185
22023 0.1666667 1 261.5179 0.7260174 4649.642 12.9241 -45.78166 172.2683 185
22123 0.1666667 1 261.8316 0.7268889 4643.367 12.90667 -45.79373 172.2668 185
22223 0.1666667 1 262.1454 0.7277603 4637.093 12.88924 -45.80581 172.2653 185
22323 0.1666667 1 262.4591 0.7286318 4630.818 12.87181 -45.81791 172.2637 185
22423 0.1666667 1 262.7728 0.7295033 4624.544 12.85438 -45.83002 172.2622 185
22523 0.1666667 1 263.0865 0.7303747 4618.269 12.83695 -45.84215 172.2607 185
22623 0.1666667 1 263.4003 0.7312462 4611.995 12.81952 -45.85429 172.2592 185
22723 0.1666667 1 263.714 0.7321176 4605.72 12.80209 -45.86644 172.2576 185
22823 0.1666667 1 264.0277 0.7329891 4599.446 12.78466 -45.87861 172.2561 185
22923 0.1666667 1 264.3414 0.7338606 4593.171 12.76723 -45.8908 172.2546 185
23023 0.1666667 1 264.6552 0.734732 4586.897 12.7498 -45.903 172.253 185
23123 0.1666667 1 264.9689 0.7356035 4580.622 12.73237 -45.91521 172.2515 185
23223 0.1666667 1 265.2826 0.7364749 4574.348 12.71495 -45.92744 172.25 185
23323 0.1666667 1 265.5963 0.7373464 4568.073 12.69752 -45.93968 172.2484 185
23423 0.1666667 1 265.9101 0.7382179 4561.799 12.68009 -45.95194 172.2469 185
23523 0.1666667 1 266.2238 0.7390893 4555.524 12.66266 -45.96421 172.2453 185
23623 0.1666667 1 266.5375 0.7399608 4549.25 12.64523 -45.97649 172.2438 185
23723 0.1666667 1 266.8512 0.7408322 4542.975 12.6278 -45.98879 172.2423 185
23823 0.1666667 1 267.165 0.7417037 4536.701 12.61037 -46.00111 172.2407 185
23923 0.1666667 1 267.4787 0.7425752 4530.426 12.59294 -46.01344 172.2391 185
24023 0.1666667 1 267.7924 0.7434466 4524.152 12.57551 -46.02578 172.2376 185
24123 0.1666667 1 268.1061 0.7443181 4517.877 12.55808 -46.03814 172.236 185
24223 0.1666667 1 268.4199 0.7451895 4511.603 12.54065 -46.05051 172.2345 185
24323 0.1666667 1 268.7336 0.746061 4505.328 12.52322 -46.0629 172.2329 185
24423 0.1666667 1 269.0473 0.7469325 4499.054 12.5058 -46.0753 172.2314 185
24523 0.1666667 1 269.361 0.7478039 4492.779 12.48837 -46.08772 172.2298 185
24623 0.1666667 1 269.6748 0.7486754 4486.505 12.47094 -46.10015 172.2282 185
24723 0.1666667 1 269.9885 0.7495468 4480.23 12.45351 -46.11259 172.2266 185
24823 0.1666667 1 270.3022 0.7504183 4473.956 12.43608 -46.12505 172.2251 185
24923 0.1666667 1 270.6159 0.7512898 4467.681 12.41865 -46.13753 172.2235 185
25023 0.1666667 1 270.9297 0.7521612 4461.407 12.40122 -46.15001 172.2219 185
25123 0.1666667 1 271.2434 0.7530327 4455.132 12.38379 -46.16252 172.2203 185
25223 0.1666667 1 271.5571 0.7539041 4448.858 12.36636 -46.17503 172.2188 185
25323 0.1666667 1 271.8708 0.7547756 4442.583 12.34893 -46.18757 172.2172 185
25423 0.1666667 1 272.1846 0.7556471 4436.308 12.3315 -46.20011 172.2156 185
25523 0.1666667 1 272.4983 0.7565185 4430.034 12.31407 -46.21267 172.214 185
25623 0.1666667 1 272.812 0.75739 4423.759 12.29664 -46.22525 172.2124 185
25723 0.1666667 1 273.1258 0.7582614 4417.485 12.27922 -46.23784 172.2108 185
25823 0.1666667 1 273.4395 0.7591329 4411.21 12.26179 -46.25044 172.2092 185
25923 0.1666667 1 273.7532 0.7600044 4404.936 12.24436 -46.26306 172.2076 185
26023 0.1666667 1 274.0669 0.7608758 4398.661 12.22693 -46.27569 172.206 185
26123 0.1666667 1 274.3807 0.7617473 4392.387 12.2095 -46.28834 172.2044 185
26223 0.1666667 1 274.6944 0.7626187 4386.112 12.19207 -46.301 172.2028 185
26323 0.1666667 1 275.0081 0.7634902 4379.838 12.17464 -46.31368 172.2012 185
26423 0.1666667 1 275.3218 0.7643617 4373.563 12.15721 -46.32637 172.1996 185
26523 0.1666667 1 275.6356 0.7652331 4367.289 12.13978 -46.33907 172.198 185
26623 0.1666667 1 275.9493 0.7661046 4361.014 12.12235 -46.35179 172.1964 185
26723 0.1666667 1 276.263 0.766976 4354.74 12.10492 -46.36453 172.1948 185
26823 0.1666667 1 276.5767 0.7678475 4348.465 12.08749 -46.37728 172.1932 185
26923 0.1666667 1 276.8905 0.768719 4342.191 12.07007 -46.39004 172.1915 185
27003 0.1333333 1 277.1414 0.6156026 4337.171 9.643503 -46.40026 172.1902 185
