alt2 min phase gs dist fb fuel lat lon hdg
9301 0.1666667 1 221.6058 0.6151503 5447.885 15.14144 -76.96688 166.8705 5
9401 0.1666667 1 221.9195 0.6160218 5441.61 15.12401 -76.95665 166.8744 5
9501 0.1666667 1 222.2332 0.6168932 5435.336 15.10658 -76.94641 166.8784 5
9601 0.1666667 1 222.5469 0.6177647 5429.061 15.08915 -76.93615 166.8824 5
9701 0.1666667 1 222.8607 0.6186362 5422.787 15.07172 -76.92588 166.8863 5
9801 0.1666667 1 223.1744 0.6195076 5416.512 15.05429 -76.9156 166.8903 5
9901 0.1666667 1 223.4881 0.6203791 5410.238 15.03686 -76.9053 166.8943 5
10001 0.1666667 1 223.8018 0.6212505 5403.963 15.01943 -76.89498 166.8983 5
10101 0.1666667 1 224.1156 0.622122 5397.689 15.002 -76.88465 166.9023 5
10201 0.1666667 1 224.4293 0.6229935 5391.414 14.98458 -76.87431 166.9062 5
10301 0.1666667 1 224.743 0.6238649 5385.14 14.96715 -76.86395 166.9102 5
10401 0.1666667 1 225.0567 0.6247364 5378.865 14.94972 -76.85358 166.9142 5
10501 0.1666667 1 225.3705 0.6256078 5372.591 14.93229 -76.84319 166.9182 5
10601 0.1666667 1 225.6842 0.6264793 5366.316 14.91486 -76.83279 166.9222 5
10701 0.1666667 1 225.9979 0.6273508 5360.042 14.89743 -76.82237 166.9262 5
10801 0.1666667 1 226.3116 0.6282222 5353.767 14.88 -76.81194 166.9302 5
10901 0.1666667 1 226.6254 0.6290937 5347.493 14.86257 -76.8015 166.9342 5
11001 0.1666667 1 226.9391 0.6299651 5341.218 14.84514 -76.79104 166.9382 5
11101 0.1666667 1 227.2528 0.6308366 5334.944 14.82771 -76.78057 166.9422 5
11201 0.1666667 1 227.5665 0.6317081 5328.669 14.81028 -76.77008 166.9462 5
11301 0.1666667 1 227.8803 0.6325795 5322.395 14.79285 -76.75957 166.9503 5
11401 0.1666667 1 228.194 0.633451 5316.12 14.77542 -76.74906 166.9543 5
11501 0.1666667 1 228.5077 0.6343224 5309.846 14.758 -76.73852 166.9583 5
11601 0.1666667 1 228.8214 0.6351939 5303.571 14.74057 -76.72798 166.9623 5
11701 0.1666667 1 229.1352 0.6360654 5297.297 14.72314 -76.71742 166.9663 5
11801 0.1666667 1 229.4489 0.6369368 5291.022 14.70571 -76.70684 166.9704 5
11901 0.1666667 1 229.7626 0.6378083 5284.748 14.68828 -76.69625 166.9744 5
12001 0.1666667 1 230.0763 0.6386797 5278.473 14.67085 -76.68565 166.9784 5
12101 0.1666667 1 230.3901 0.6395512 5272.199 14.65342 -76.67503 166.9825 5
12201 0.1666667 1 230.7038 0.6404227 5265.924 14.63599 -76.6644 166.9865 5
12301 0.1666667 1 231.0175 0.6412941 5259.65 14.61856 -76.65375 166.9905 5
12401 0.1666667 1 231.3312 0.6421656 5253.375 14.60113 -76.64309 166.9946 5
12501 0.1666667 1 231.645 0.643037 5247.101 14.5837 -76.63241 166.9986 5
12601 0.1666667 1 231.9587 0.6439085 5240.826 14.56627 -76.62172 167.0027 5
12701 0.1666667 1 232.2724 0.64478 5234.552 14.54885 -76.61101 167.0067 5
12801 0.1666667 1 232.5861 0.6456514 5228.277 14.53142 -76.60029 167.0107 5
12901 0.1666667 1 232.8999 0.6465229 5222.003 14.51399 -76.58956 167.0148 5
13001 0.1666667 1 233.2136 0.6473943 5215.728 14.49656 -76.57881 167.0188 5
13101 0.1666667 1 233.5273 0.6482658 5209.454 14.47913 -76.56805 167.0229 5
13201 0.1666667 1 233.841 0.6491373 5203.179 14.4617 -76.55727 167.027 5
13301 0.1666667 1 234.1548 0.6500087 5196.905 14.44427 -76.54648 167.031 5
13401 0.1666667 1 234.4685 0.6508802 5190.63 14.42684 -76.53567 167.0351 5
13501 0.1666667 1 234.7822 0.6517516 5184.356 14.40941 -76.52485 167.0391 5
13601 0.1666667 1 235.0959 0.6526231 5178.081 14.39198 -76.51401 167.0432 5
13701 0.1666667 1 235.4097 0.6534946 5171.807 14.37455 -76.50316 167.0473 5
13801 0.1666667 1 235.7234 0.654366 5165.532 14.35712 -76.4923 167.0514 5
13901 0.1666667 1 236.0371 0.6552375 5159.258 14.33969 -76.48142 167.0554 5
14001 0.1666667 1 236.3508 0.6561089 5152.983 14.32227 -76.47053 167.0595 5
14101 0.1666667 1 236.6646 0.6569804 5146.708 14.30484 -76.45962 167.0636 5
14201 0.1666667 1 236.9783 0.6578519 5140.434 14.28741 -76.4487 167.0677 5
14301 0.1666667 1 237.292 0.6587233 5134.159 14.26998 -76.43776 167.0717 5
14401 0.1666667 1 237.6058 0.6595948 5127.885 14.25255 -76.42681 167.0758 5
14501 0.1666667 1 237.9195 0.6604662 5121.61 14.23512 -76.41584 167.0799 5
14601 0.1666667 1 238.2332 0.6613377 5115.336 14.21769 -76.40486 167.084 5
14701 0.1666667 1 238.5469 0.6622092 5109.061 14.20026 -76.39387 167.0881 5
14801 0.1666667 1 238.8607 0.6630806 5102.787 14.18283 -76.38286 167.0922 5
14901 0.1666667 1 239.1744 0.6639521 5096.512 14.1654 -76.37183 167.0963 5
15001 0.1666667 1 239.4881 0.6648235 5090.238 14.14797 -76.3608 167.1004 5
15101 0.1666667 1 239.8018 0.665695 5083.963 14.13054 -76.34974 167.1045 5
15201 0.1666667 1 240.1156 0.6665664 5077.689 14.11312 -76.33868 167.1086 5
15301 0.1666667 1 240.4293 0.6674379 5071.414 14.09569 -76.32759 167.1127 5
15401 0.1666667 1 240.743 0.6683094 5065.14 14.07826 -76.3165 167.1168 5
15501 0.1666667 1 241.0567 0.6691808 5058.865 14.06083 -76.30539 167.1209 5
15601 0.1666667 1 241.3705 0.6700523 5052.591 14.0434 -76.29426 167.125 5
15701 0.1666667 1 241.6842 0.6709237 5046.316 14.02597 -76.28312 167.1291 5
15801 0.1666667 1 241.9979 0.6717952 5040.042 14.00854 -76.27197 167.1332 5
15901 0.1666667 1 242.3116 0.6726667 5033.767 13.99111 -76.2608 167.1373 5
16001 0.1666667 1 242.6254 0.6735381 5027.493 13.97368 -76.24962 167.1415 5
16101 0.1666667 1 242.9391 0.6744096 5021.218 13.95625 -76.23842 167.1456 5
16201 0.1666667 1 243.2528 0.675281 5014.944 13.93882 -76.22721 167.1497 5
16301 0.1666667 1 243.5665 0.6761525 5008.669 13.92139 -76.21598 167.1538 5
16401 0.1666667 1 243.8803 0.677024 5002.395 13.90397 -76.20474 167.158 5
16501 0.1666667 1 244.194 0.6778954 4996.12 13.88654 -76.19349 167.1621 5
16601 0.1666667 1 244.5077 0.6787669 4989.846 13.86911 -76.18222 167.1662 5
16701 0.1666667 1 244.8214 0.6796383 4983.571 13.85168 -76.17093 167.1703 5
16801 0.1666667 1 245.1352 0.6805098 4977.297 13.83425 -76.15963 167.1745 5
16901 0.1666667 1 245.4489 0.6813813 4971.022 13.81682 -76.14832 167.1786 5
17001 0.1666667 1 245.7626 0.6822527 4964.748 13.79939 -76.13699 167.1828 5
17101 0.1666667 1 246.0763 0.6831242 4958.473 13.78196 -76.12565 167.1869 5
17201 0.1666667 1 246.3901 0.6839956 4952.199 13.76453 -76.11429 167.191 5
17301 0.1666667 1 246.7038 0.6848671 4945.924 13.7471 -76.10292 167.1952 5
17401 0.1666667 1 247.0175 0.6857386 4939.65 13.72967 -76.09154 167.1993 5
17501 0.1666667 1 247.3312 0.68661 4933.375 13.71224 -76.08014 167.2035 5
17601 0.1666667 1 247.645 0.6874815 4927.101 13.69481 -76.06872 167.2076 5
17701 0.1666667 1 247.9587 0.6883529 4920.826 13.67739 -76.05729 167.2118 5
17801 0.1666667 1 248.2724 0.6892244 4914.552 13.65996 -76.04585 167.2159 5
