alt2 min phase gs dist fb fuel lat lon hdg
12800 0.1666667 1 232.583 0.6456427 5228.34 14.53159 -89.67941 169.0374 355
12900 0.1666667 1 232.8967 0.6465142 5222.065 14.51416 -89.66867 168.8723 355
13000 0.1666667 1 233.2105 0.6473856 5215.791 14.49673 -89.65792 168.7122 355
13100 0.1666667 1 233.5242 0.6482571 5209.516 14.4793 -89.64716 168.5569 355
13200 0.1666667 1 233.8379 0.6491285 5203.242 14.46187 -89.63638 168.4061 355
13300 0.1666667 1 234.1516 0.65 5196.967 14.44444 -89.62559 168.2595 355
13400 0.1666667 1 234.4654 0.6508715 5190.693 14.42702 -89.61478 168.1324 356
13500 0.1666667 1 234.7791 0.6517429 5184.418 14.40959 -89.60394 168.0213 356
13600 0.1666667 1 235.0928 0.6526144 5178.144 14.39216 -89.59309 167.913 356
13700 0.1666667 1 235.4065 0.6534858 5171.869 14.37473 -89.58223 167.8074 356
13800 0.1666667 1 235.7203 0.6543573 5165.595 14.3573 -89.57135 167.7044 356
13900 0.1666667 1 236.034 0.6552288 5159.32 14.33987 -89.56045 167.6039 356
14000 0.1666667 1 236.3477 0.6561002 5153.046 14.32244 -89.54954 167.5191 357
14100 0.1666667 1 236.6614 0.6569717 5146.771 14.30501 -89.5386 167.4471 357
14200 0.1666667 1 236.9752 0.6578431 5140.497 14.28758 -89.52765 167.3766 357
14300 0.1666667 1 237.2889 0.6587146 5134.222 14.27015 -89.51669 167.3077 357
14400 0.1666667 1 237.6026 0.6595861 5127.948 14.25272 -89.50571 167.2403 357
14500 0.1666667 1 237.9163 0.6604575 5121.673 14.23529 -89.49472 167.1742 357
14600 0.1666667 1 238.2301 0.661329 5115.399 14.21786 -89.48371 167.1095 357
14700 0.1666667 1 238.5438 0.6622004 5109.124 14.20044 -89.47269 167.0461 357
14800 0.1666667 1 238.8575 0.6630719 5102.85 14.18301 -89.46166 166.9839 357
14900 0.1666667 1 239.1712 0.6639434 5096.575 14.16558 -89.4506 166.9229 357
15000 0.1666667 1 239.485 0.6648148 5090.301 14.14815 -89.43954 166.863 357
15100 0.1666667 1 239.7987 0.6656863 5084.026 14.13072 -89.42846 166.8042 357
15200 0.1666667 1 240.1124 0.6665577 5077.752 14.11329 -89.41737 166.7465 357
15300 0.1666667 1 240.4261 0.6674292 5071.477 14.09586 -89.40626 166.6898 357
15400 0.1666667 1 240.7399 0.6683007 5065.203 14.07843 -89.39513 166.6341 357
15500 0.1666667 1 241.0536 0.6691721 5058.928 14.061 -89.384 166.5793 357
15600 0.1666667 1 241.3673 0.6700436 5052.654 14.04357 -89.37284 166.5254 357
15700 0.1666667 1 241.681 0.670915 5046.379 14.02614 -89.36168 166.4724 357
15800 0.1666667 1 241.9948 0.6717865 5040.105 14.00871 -89.35049 166.4298 358
15900 0.1666667 1 242.3085 0.672658 5033.83 13.99129 -89.33929 166.3956 358
16000 0.1666667 1 242.6222 0.6735294 5027.556 13.97386 -89.32807 166.3619 358
16100 0.1666667 1 242.9359 0.6744009 5021.281 13.95643 -89.31684 166.3287 358
16200 0.1666667 1 243.2497 0.6752723 5015.007 13.939 -89.30559 166.296 358
16300 0.1666667 1 243.5634 0.6761438 5008.732 13.92157 -89.29433 166.2638 358
16400 0.1666667 1 243.8771 0.6770153 5002.458 13.90414 -89.28305 166.2321 358
16500 0.1666667 1 244.1908 0.6778867 4996.183 13.88671 -89.27176 166.2008 358
16600 0.1666667 1 244.5046 0.6787582 4989.908 13.86928 -89.26045 166.17 358
16700 0.1666667 1 244.8183 0.6796296 4983.634 13.85185 -89.24913 166.1396 358
16800 0.1666667 1 245.132 0.6805011 4977.359 13.83442 -89.2378 166.1096 358
16900 0.1666667 1 245.4458 0.6813725 4971.085 13.81699 -89.22645 166.0801 358
17000 0.1666667 1 245.7595 0.682244 4964.81 13.79956 -89.21508 166.0509 358
17100 0.1666667 1 246.0732 0.6831155 4958.536 13.78214 -89.20371 166.0221 358
17200 0.1666667 1 246.3869 0.6839869 4952.261 13.76471 -89.19231 165.9937 358
17300 0.1666667 1 246.7007 0.6848584 4945.987 13.74728 -89.18091 165.9656 358
17400 0.1666667 1 247.0144 0.6857298 4939.712 13.72985 -89.16948 165.9379 358
17500 0.1666667 1 247.3281 0.6866013 4933.438 13.71242 -89.15805 165.9105 358
17600 0.1666667 1 247.6418 0.6874728 4927.163 13.69499 -89.1466 165.8835 358
17700 0.1666667 1 247.9556 0.6883442 4920.889 13.67756 -89.13513 165.8568 358
17800 0.1666667 1 248.2693 0.6892157 4914.614 13.66013 -89.12365 165.8304 358
17900 0.1666667 1 248.583 0.6900871 4908.34 13.6427 -89.11216 165.8043 358
18000 0.1666667 1 248.8967 0.6909586 4902.065 13.62527 -89.10065 165.7786 358
18100 0.1666667 1 249.2105 0.6918301 4895.791 13.60784 -89.08912 165.7531 358
18200 0.1666667 1 249.5242 0.6927015 4889.516 13.59041 -89.07759 165.7279 358
